server name,server id,idle latency,idle jitter,packet loss,download,upload,download bytes,upload bytes,share url,download server count,download latency,download latency jitter,download latency low,download latency high,upload latency,upload latency jitter,upload latency low,upload latency high,idle latency low,idle latency high,date
"CenturyLink, Inc. - Denver, CO",52079,31.3238,8.63425,,32811887,3547330,313960298,50133021,https://www.speedtest.net/result/c/0010afa7-397d-475e-8f1d-87485f830de6,1,116.74,45.3238,22.407,688.894,16.0683,13.6265,7.495,402.102,25.139,47.248,2022-12-15 09:01:30.434031
"Verso Networks - Denver, CO",20818,19.4158,3.71425,1.14286,14188762,4499371,146829564,30229569,https://www.speedtest.net/result/c/67bb2dc4-64b6-493b-8adf-c37713270f4f,1,36.6887,13.7427,13.377,292.455,43.05,18.6638,14.949,210.283,15.329,22.104,2022-12-15 09:02:12.777292
"Comcast - Denver, CO",10051,40.1083,18.8158,0.840336,20443073,3483437,276685368,33935622,https://www.speedtest.net/result/c/455cf69c-4c74-4d03-a8f9-070d0849ac70,1,66.1707,34.754,17.754,1134.33,42.4727,11.76,9.078,155.955,22.054,67.833,2022-12-15 09:02:40.349842
"CenturyLink, Inc. - Denver, CO",52079,75.5545,19.1328,,25006635,4563567,329459494,61493620,https://www.speedtest.net/result/c/0456797b-292c-4a8c-b4f8-bf00942b4df4,1,115.717,43.82,37.854,749.491,23.8272,10.1424,7.846,248.432,56.56,107.421,2022-12-15 09:03:12.892139
"Whitesky Communications LLC - Denver, CO",23628,33.1825,9.06475,1.51515,23141180,3288371,282783127,41122017,https://www.speedtest.net/result/c/d1ebcaaa-75c9-412f-a52c-16e7369b4317,1,50.3377,28.2785,17.055,415.274,23.3395,23.0323,7.639,1375.72,28.959,41.416,2022-12-15 09:03:47.428676
"Whitesky Communications LLC - Denver, CO",23628,29.2217,14.2163,0.420168,23401464,4672911,328257357,62362692,https://www.speedtest.net/result/c/6a188a27-75ba-490d-b7c3-c62777680216,1,34.3703,13.4996,12.674,558.783,27.1239,10.2676,8.064,212.858,19.503,48.42,2022-12-15 09:04:18.428312
"Whitesky Communications LLC - Denver, CO",23628,32.6905,4.85275,1.68776,20447320,4863241,294630357,65952928,https://www.speedtest.net/result/c/e2123a5f-c37b-4c8b-8784-8d7e28e5d7da,1,59.1112,32.294,17.85,907.505,24.5602,11.8912,8.045,367.98,24.701,34.799,2022-12-15 09:04:50.289792
"Verso Networks - Denver, CO",20818,30.0425,10.3587,1.875,23730920,3270877,234965100,45243617,https://www.speedtest.net/result/c/e5506fe7-9d56-4cd2-98a9-ed7be7e3ad75,1,49.199,19.9303,19.455,518.768,24.6364,9.95246,7.905,529.736,23.67,43.542,2022-12-15 09:05:17.038984
"Comcast - Denver, CO",10051,39.2793,8.07025,0.840336,26987114,4376023,380478548,58986418,https://www.speedtest.net/result/c/fe489466-7c1e-4963-83e2-9097f8fdec8c,1,67.3646,18.0047,33.847,371.465,23.1394,8.49692,7.234,210.747,31.032,47.962,2022-12-15 09:05:49.079340
"Netprotect - Denver, CO",37501,36.5494,8.425,,19592779,4065125,268368440,55677440,https://www.speedtest.net/result/c/9707f217-b1f8-4f89-8629-7d796100e84c,1,71.918,33.0601,19.839,1358.47,31.8519,11.6482,8.55,220.151,27.416,53.856,2022-12-15 09:06:20.807361
"Nitel - Denver, CO",16797,146.137,91.948,0.83682,30700005,3481717,391631473,46500076,https://www.speedtest.net/result/c/8705777b-ee9e-482a-8d1b-399c0a7a0909,1,59.5178,30.7136,20.652,650.827,64.9754,18.7559,8.402,252.074,68.129,264.184,2022-12-15 09:06:53.870083
"Xiber LLC - Denver, CO",18847,35.8527,14.9475,0.0,19711525,4821932,238631115,53784169,https://www.speedtest.net/result/c/6f0ef899-7c6a-4dac-87c7-db9d553d57c3,1,43.0634,12.0148,18.995,308.711,30.5108,15.8891,8.884,348.555,22.217,47.322,2022-12-15 09:07:23.007257
"Xiber LLC - Denver, CO",18847,44.5105,3.4665,0.0,24619303,4660770,262811307,17765528,https://www.speedtest.net/result/c/e1c659c6-f31f-4ffe-820c-40f8f76ac670,1,62.4103,15.3252,19.901,375.892,87.918,36.8931,27.52,414.35,39.322,47.269,2022-12-15 09:07:40.887405
"Lumen Technologies - 2 - Denver, CO",48907,22.5173,9.12575,,31245364,3605419,367506128,50315128,https://www.speedtest.net/result/c/513a0dde-dc25-43c3-8d77-a1961d372dfb,1,87.6566,29.6809,19.543,410.552,22.4076,9.8877,7.492,211.307,14.578,30.9,2022-12-15 09:08:10.425429
"Whitesky Communications LLC - Denver, CO",23628,34.7058,5.9285,0.757576,20917094,2681187,170930356,30890075,https://www.speedtest.net/result/c/6da4fb92-e302-47e7-ae95-2c774a9e1205,1,45.3757,11.2741,17.077,121.551,14.8628,21.6501,7.416,1097.44,23.932,47.646,2022-12-15 09:08:36.262204
"Netprotect - Denver, CO",37501,25.9637,8.7385,,25883740,3435632,286944020,45627399,https://www.speedtest.net/result/c/bfad2eb9-e985-4e2d-8064-382df3734520,1,56.6591,21.8367,19.934,878.024,18.3863,16.4946,7.219,606.778,23.512,52.164,2022-12-15 09:09:07.916449
"Netprotect - Denver, CO",37501,29.4256,8.04325,,27350368,5222662,336216384,41071186,https://www.speedtest.net/result/c/c040da75-839f-4707-97aa-312ea64f2b4b,1,48.1965,11.6617,23.337,403.666,315.272,86.3972,24.553,476.081,19.642,37.069,2022-12-15 09:09:32.562166
"NextLight - Denver, CO",47683,12.2244,2.847,0.0,34762033,5170907,307410584,29927303,https://www.speedtest.net/result/c/deecb211-a30c-463d-80ac-d0fef8f48fe9,1,44.2757,7.37944,15.685,72.249,53.5135,31.9927,7.723,408.564,11.229,20.139,2022-12-15 09:09:48.617197
"Comcast - Denver, CO",10051,12.6,6.15125,0.0,35568377,5062757,342919728,21842454,https://www.speedtest.net/result/c/8b3f5f65-06f5-41ec-8319-fbd124f93d8e,1,55.9976,11.2186,16.623,298.157,322.287,72.0777,26.788,607.796,11.291,22.429,2022-12-15 09:10:04.569188
"Nitel - Denver, CO",16797,16.7963,4.36875,0.0,36878676,5043433,479390308,26153875,https://www.speedtest.net/result/c/cbb4f8a9-e3ca-402d-b8d2-3628a7fbd38f,1,52.8473,7.82848,16.308,128.901,51.2934,31.8175,7.907,392.628,13.232,21.11,2022-12-15 09:10:25.232818
"Xiber LLC - Denver, CO",18847,13.6813,2.80075,0.483092,28138646,4976850,336463608,41587281,https://www.speedtest.net/result/c/b8ddc2cf-bcf1-48c3-8b35-74ded07f7bd7,1,35.4576,10.2468,17.959,356.302,316.701,86.5088,18.959,587.583,12.421,18.391,2022-12-15 09:10:50.716523
"Lumen Technologies - 2 - Denver, CO",48907,12.7261,1.51275,,39961168,5165761,400005728,27515711,https://www.speedtest.net/result/c/87265dde-8aff-4d71-a4b2-5bf761e63644,1,68.1838,18.0704,17.688,333.098,315.542,88.1546,22.66,814.28,11.573,14.626,2022-12-15 09:11:07.561870
"Comcast - Denver, CO",10051,13.8106,0.923,0.0,36642492,5037367,483995454,28170300,https://www.speedtest.net/result/c/67231a17-395d-41e2-9062-29279cf20c91,1,39.9874,6.84151,13.697,86.231,273.416,79.2531,21.369,475.785,12.981,15.07,2022-12-15 09:11:29.393587
"Whitesky Communications LLC - Denver, CO",23628,12.6654,1.1235,0.0,33274144,5206216,227135748,62148360,https://www.speedtest.net/result/c/16e57b6f-38fa-4a6c-b24f-cbb18972bd60,1,38.8823,10.4364,14.292,96.727,15.7545,15.0965,6.882,350.864,11.256,13.807,2022-12-15 09:11:52.606921
"Nitel - Denver, CO",16797,19.3404,4.13075,0.0,32476877,5204418,454358608,23020622,https://www.speedtest.net/result/c/6a4d7aa5-f935-47c4-85b3-e8590d46a389,1,53.1116,9.5235,14.012,101.06,61.5505,29.5892,8.844,348.03,13.945,24.307,2022-12-15 09:12:13.376889
"Netprotect - Denver, CO",37501,13.1259,2.41275,,33446523,4886473,335508925,51549558,https://www.speedtest.net/result/c/1194b91f-4b80-48dd-9b67-8d7b6f04473a,1,48.8821,9.66836,13.782,152.655,27.4838,26.7455,7.663,468.582,11.538,16.345,2022-12-15 09:12:36.603576
"Netprotect - Denver, CO",37501,14.8657,0.779,,29325702,5090453,223648640,28519999,https://www.speedtest.net/result/c/55289089-70a2-4f5d-a1f0-94440c8a8f2b,1,48.8051,16.1978,14.213,316.052,52.0735,31.6693,8.251,462.008,13.091,16.207,2022-12-15 09:12:52.295529
"Lumen Technologies - 2 - Denver, CO",48907,16.9874,1.29675,,26450311,4791384,290363460,39501439,https://www.speedtest.net/result/c/f0d04db5-4fba-4d0d-948d-85d6f58831e9,1,82.2525,26.0544,22.779,356.64,46.4628,26.6364,12.067,451.73,16.176,17.88,2022-12-15 09:13:12.982389
"CenturyLink, Inc. - Denver, CO",52079,17.4948,4.041,,36514430,4926605,351305320,23044614,https://www.speedtest.net/result/c/7d115d0a-a333-4d02-aeaa-140216baab0b,1,77.1932,17.7305,15.666,338.901,263.376,80.5083,18.735,391.891,12.332,22.161,2022-12-15 09:13:29.118386
"Netprotect - Denver, CO",37501,16.7993,2.0925,,31022107,4575784,317497724,27191271,https://www.speedtest.net/result/c/ed3760c8-fd07-4c93-8665-6e61bf6eb368,1,51.1693,9.24152,17.806,143.766,31.4644,14.2747,7.759,241.312,13.897,18.429,2022-12-15 09:13:49.475697
"Verso Networks - Denver, CO",20818,13.1712,1.008,0.934579,27063237,5200360,181488162,62905082,https://www.speedtest.net/result/c/deec3b51-e3c3-4d4d-ba3c-5ce704c12d54,1,42.2848,13.0493,13.559,268.599,15.785,18.6175,7.448,372.971,12.204,14.904,2022-12-15 09:14:09.631250
"Whitesky Communications LLC - Denver, CO",23628,12.608,5.391,0.0,34913798,5233859,385230183,75795951,https://www.speedtest.net/result/c/8c05e1bb-d477-40fc-8ba2-63c5dfc86dbd,1,36.1498,10.1125,17.545,126.609,12.7075,13.5483,7.372,374.18,12.04,21.877,2022-12-15 09:14:37.076329
"Comcast - Denver, CO",10051,13.5569,0.8015,0.420168,35014140,4877270,492764214,38453250,https://www.speedtest.net/result/c/3ea88446-6ab9-48a9-abe0-a72649d3601e,1,49.8105,9.16511,15.788,308.093,45.1083,27.1965,10.239,396.277,12.806,14.599,2022-12-15 09:15:01.413072
"NextLight - Denver, CO",47683,12.6953,1.63425,0.0,34221832,5365746,394660825,38011923,https://www.speedtest.net/result/c/ceda2e87-e97d-4381-a157-47a8e286adb2,1,53.8167,8.67615,19.684,95.832,260.423,78.875,16.184,471.978,11.743,14.767,2022-12-15 09:15:22.265707
"Verso Networks - Denver, CO",20818,12.467,2.4875,0.0,19899781,5201730,138575900,51495965,https://www.speedtest.net/result/c/66c931e4-6b0a-48c1-ab0f-068070e91579,1,26.0777,9.48011,16.848,267.061,17.7745,20.3803,7.638,445.441,11.233,18.337,2022-12-15 09:15:40.436447
"CenturyLink, Inc. - Denver, CO",52079,14.0638,2.724,,34750903,4727369,287949432,61263610,https://www.speedtest.net/result/c/5eadb92d-e4b8-4807-ac25-397aea0d53ae,1,78.7048,19.3989,18.07,326.815,48.6048,18.4055,8.008,361.668,12.018,16.518,2022-12-15 09:16:04.864313
