server name,server id,idle latency,idle jitter,packet loss,download,upload,download bytes,upload bytes,share url,download server count,download latency,download latency jitter,download latency low,download latency high,upload latency,upload latency jitter,upload latency low,upload latency high,idle latency low,idle latency high,date
"NextLight - Denver, CO",47683,19.0743,3.2355,0.0,9303992,1538573,66953812,3672576,https://www.speedtest.net/result/c/9af0b9eb-e97d-4e7e-b7fc-5cf724e48a1d,1,121.292,39.8146,27.743,423.712,204.842,77.9133,34.975,607.061,16.344,22.321,2022-12-14 15:05:13.492223
"Comcast - Denver, CO",10051,19.8934,5.207,0.0,9915619,3617889,95182280,44830377,https://www.speedtest.net/result/c/f14943fd-ecbf-481f-be9e-733277a8a8d6,1,137.791,42.9556,25.945,435.163,92.2899,34.3597,16.201,1708.92,17.396,25.197,2022-12-14 15:06:10.581215
"Comcast - Denver, CO",10051,20.1331,6.11475,0.0,8369136,1663213,115818812,3264888,https://www.speedtest.net/result/c/011dfba5-eaea-45b9-bff6-333a9c2d8374,1,87.894,20.1054,22.637,330.962,178.237,64.5387,17.827,679.29,18.859,28.242,2022-12-14 15:07:11.931881
"NextLight - Denver, CO",47683,17.6902,1.815,0.0,9969685,3400465,96357736,44981086,https://www.speedtest.net/result/c/008027c2-2108-415d-b4b7-d4b27bff58cc,1,98.0263,23.3995,23.561,241.852,187.685,60.413,26.993,503.234,16.409,19.48,2022-12-14 15:08:08.195865
"CenturyLink, Inc. - Denver, CO",52079,22.245,7.334,,11392338,1780506,123533416,4963144,https://www.speedtest.net/result/c/aedbe18d-6f82-4119-ad10-196f1a1e21e7,1,169.846,54.7173,27.441,569.486,318.704,93.7638,56.577,1157.09,17.409,37.878,2022-12-14 15:09:53.854341
"Netprotect - Denver, CO",37501,24.8888,3.34225,,12660869,4269792,152199984,52382792,https://www.speedtest.net/result/c/e0e4fecf-9afa-43df-be75-7406804b7b2c,1,95.6795,27.0338,26.905,309.241,86.8742,31.1147,16.403,688.427,20.675,31.554,2022-12-14 15:12:41.979821
"Xiber LLC - Denver, CO",18847,19.1415,4.11625,0.0,13071553,3944651,124101360,48507347,https://www.speedtest.net/result/c/2edd78d0-5714-4a7a-a786-d3dee0d44c27,1,85.5523,24.2156,20.421,472.401,107.943,39.2013,21.482,1692.64,17.593,32.13,2022-12-14 15:13:39.160043
"Nitel - Denver, CO",16797,17.9666,1.5155,0.0,12085873,2843588,99995988,34103116,https://www.speedtest.net/result/c/274e5ab9-c647-4de4-a11a-7d8f9b286b63,1,85.8702,24.0344,23.346,394.796,118.859,45.0849,16.575,1812.63,16.807,21.068,2022-12-14 15:14:34.646104
"Lumen Technologies - 2 - Denver, CO",48907,23.3454,6.10275,,14170327,3062870,127288944,37480465,https://www.speedtest.net/result/c/ffb7194d-663f-4e45-bc5c-a5888926ff80,1,149.994,52.6534,21.057,660.45,122.706,46.8691,19.854,1242.06,17.794,26.817,2022-12-14 15:15:30.579314
"Netprotect - Denver, CO",37501,19.4036,6.3425,,10305592,3692659,118960764,45388665,https://www.speedtest.net/result/c/7f02d3a3-aa38-4fa1-9cce-b5fb965e7111,1,81.4691,18.427,20.564,373.411,110.464,38.8497,17.85,726.395,16.358,28.544,2022-12-14 15:16:31.662908
"Whitesky Communications LLC - Denver, CO",23628,19.4953,2.00575,0.0,11341803,721194,143426414,5865604,https://www.speedtest.net/result/c/0cdd66c6-bb82-4144-8d7a-7262047b477b,1,90.4016,23.2845,21.766,397.264,226.9,70.043,16.9,948.49,17.192,22.618,2022-12-14 15:17:33.806507
